Code,Occupation,Occupation Types
17-2121.00,Marine Engineers and Naval Architects,"Research, Development, Design, and Practitioners"
17-2131.00,Materials Engineers,"Research, Development, Design, and Practitioners"
19-2032.00,Materials Scientists,"Research, Development, Design, and Practitioners"
15-2099.00,"Mathematical Science Occupations, All Other","Research, Development, Design, and Practitioners; Technologists and Technicians"
25-1022.00,"Mathematical Science Teachers, Postsecondary",Postsecondary Teaching
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners"
17-3013.00,Mechanical Drafters,Technologists and Technicians
17-3027.00,Mechanical Engineering Technologists and Technicians,Technologists and Technicians
17-2141.00,Mechanical Engineers,"Research, Development, Design, and Practitioners"
17-2199.05,Mechatronics Engineers,"Research, Development, Design, and Practitioners"
29-2012.00,Medical and Clinical Laboratory Technicians,Technologists and Technicians
29-2011.00,Medical and Clinical Laboratory Technologists,Technologists and Technicians
11-9111.00,Medical and Health Services Managers,Managerial
29-2036.00,Medical Dosimetrists,Technologists and Technicians
29-2072.00,Medical Records Specialists,Technologists and Technicians
19-1042.00,"Medical Scientists, Except Epidemiologists","Research, Development, Design, and Practitioners"
19-1022.00,Microbiologists,"Research, Development, Design, and Practitioners"
17-2199.06,Microsystems Engineers,"Research, Development, Design, and Practitioners"
29-9099.01,Midwives,"Research, Development, Design, and Practitioners; Technologists and Technicians"
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Research, Development, Design, and Practitioners"
19-1029.02,Molecular and Cellular Biologists,"Research, Development, Design, and Practitioners"
29-1129.02,Music Therapists,"Research, Development, Design, and Practitioners"
17-2199.09,Nanosystems Engineers,"Research, Development, Design, and Practitioners"
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Technologists and Technicians
11-9121.00,Natural Sciences Managers,Managerial
29-1299.01,Naturopathic Physicians,"Research, Development, Design, and Practitioners"
15-1244.00,Network and Computer Systems Administrators,"Research, Development, Design, and Practitioners"
29-2099.01,Neurodiagnostic Technologists,Technologists and Technicians
29-1217.00,Neurologists,"Research, Development, Design, and Practitioners"
19-3039.02,Neuropsychologists,"Research, Development, Design, and Practitioners"
17-3029.01,Non-Destructive Testing Specialists,Technologists and Technicians
17-2161.00,Nuclear Engineers,"Research, Development, Design, and Practitioners"
29-2033.00,Nuclear Medicine Technologists,Technologists and Technicians
19-4051.02,Nuclear Monitoring Technicians,Technologists and Technicians
19-4051.00,Nuclear Technicians,Technologists and Technicians
29-1151.00,Nurse Anesthetists,"Research, Development, Design, and Practitioners"
29-1161.00,Nurse Midwives,"Research, Development, Design, and Practitioners"
29-1171.00,Nurse Practitioners,"Research, Development, Design, and Practitioners"
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Postsecondary Teaching
29-1218.00,Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners"
29-1122.00,Occupational Therapists,"Research, Development, Design, and Practitioners"
15-2031.00,Operations Research Analysts,"Research, Development, Design, and Practitioners"
29-2057.00,Ophthalmic Medical Technicians,Technologists and Technicians
29-2099.05,Ophthalmic Medical Technologists,Technologists and Technicians
29-1241.00,"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners"
29-2081.00,"Opticians, Dispensing",Technologists and Technicians
29-1041.00,Optometrists,"Research, Development, Design, and Practitioners"
29-1022.00,Oral and Maxillofacial Surgeons,"Research, Development, Design, and Practitioners"
29-1023.00,Orthodontists,"Research, Development, Design, and Practitioners"
29-1242.00,"Orthopedic Surgeons, Except Pediatric","Research, Development, Design, and Practitioners"
29-1299.02,Orthoptists,"Research, Development, Design, and Practitioners"
29-2091.00,Orthotists and Prosthetists,Technologists and Technicians
29-2043.00,Paramedics,Technologists and Technicians
19-1031.03,Park Naturalists,"Research, Development, Design, and Practitioners"
29-2099.08,Patient Representatives,Technologists and Technicians
29-1243.00,Pediatric Surgeons,"Research, Development, Design, and Practitioners"
29-1221.00,"Pediatricians, General","Research, Development, Design, and Practitioners"
15-1299.04,Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians"
17-2171.00,Petroleum Engineers,"Research, Development, Design, and Practitioners"
29-1051.00,Pharmacists,"Research, Development, Design, and Practitioners"
29-2052.00,Pharmacy Technicians,Technologists and Technicians
17-2199.07,Photonics Engineers,"Research, Development, Design, and Practitioners"
17-3029.08,Photonics Technicians,Technologists and Technicians
29-1229.04,Physical Medicine and Rehabilitation Physicians,"Research, Development, Design, and Practitioners"
19-2099.00,"Physical Scientists, All Other","Research, Development, Design, and Practitioners"
29-1123.00,Physical Therapists,"Research, Development, Design, and Practitioners"
29-1071.00,Physician Assistants,"Research, Development, Design, and Practitioners"
29-1229.00,"Physicians, All Other","Research, Development, Design, and Practitioners"
29-1222.00,"Physicians, Pathologists","Research, Development, Design, and Practitioners"
19-2012.00,Physicists,"Research, Development, Design, and Practitioners"
25-1054.00,"Physics Teachers, Postsecondary",Postsecondary Teaching
29-1081.00,Podiatrists,"Research, Development, Design, and Practitioners"
25-1065.00,"Political Science Teachers, Postsecondary",Postsecondary Teaching
19-3094.00,Political Scientists,"Research, Development, Design, and Practitioners"
19-4012.01,Precision Agriculture Technicians,Technologists and Technicians
29-1229.05,Preventive Medicine Physicians,"Research, Development, Design, and Practitioners"
29-1024.00,Prosthodontists,"Research, Development, Design, and Practitioners"
29-2053.00,Psychiatric Technicians,Technologists and Technicians
29-1223.00,Psychiatrists,"Research, Development, Design, and Practitioners"
19-3039.00,"Psychologists, All Other","Research, Development, Design, and Practitioners"
25-1066.00,"Psychology Teachers, Postsecondary",Postsecondary Teaching
19-4099.01,Quality Control Analysts,Technologists and Technicians
29-1124.00,Radiation Therapists,"Research, Development, Design, and Practitioners"
17-2072.01,Radio Frequency Identification Device Specialists,"Research, Development, Design, and Practitioners"
29-2034.00,Radiologic Technologists and Technicians,Technologists and Technicians
29-1224.00,Radiologists,"Research, Development, Design, and Practitioners"
19-1031.02,Range Managers,"Research, Development, Design, and Practitioners"
29-1125.00,Recreational Therapists,"Research, Development, Design, and Practitioners"
29-1141.00,Registered Nurses,"Research, Development, Design, and Practitioners"
19-2099.01,Remote Sensing Scientists and Technologists,"Research, Development, Design, and Practitioners"
19-4099.03,Remote Sensing Technicians,Technologists and Technicians
29-1126.00,Respiratory Therapists,"Research, Development, Design, and Practitioners"
17-2199.08,Robotics Engineers,"Research, Development, Design, and Practitioners"
17-3024.01,Robotics Technicians,Technologists and Technicians
41-9031.00,Sales Engineers,Sales
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales
19-3034.00,School Psychologists,"Research, Development, Design, and Practitioners"
19-4061.00,Social Science Research Assistants,Technologists and Technicians
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",Postsecondary Teaching
19-3099.00,"Social Scientists and Related Workers, All Other","Research, Development, Design, and Practitioners"
19-3041.00,Sociologists,"Research, Development, Design, and Practitioners"
25-1067.00,"Sociology Teachers, Postsecondary",Postsecondary Teaching
15-1252.00,Software Developers,"Research, Development, Design, and Practitioners"
15-1253.00,Software Quality Assurance Analysts and Testers,"Research, Development, Design, and Practitioners"
19-1013.00,Soil and Plant Scientists,"Research, Development, Design, and Practitioners"
17-2199.11,Solar Energy Systems Engineers,"Research, Development, Design, and Practitioners"
41-4011.07,Solar Sales Representatives and Assessors,Sales
29-1127.00,Speech-Language Pathologists,"Research, Development, Design, and Practitioners"
29-1229.06,Sports Medicine Physicians,"Research, Development, Design, and Practitioners"
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners"
29-1249.00,"Surgeons, All Other","Research, Development, Design, and Practitioners"
29-9093.00,Surgical Assistants,"Research, Development, Design, and Practitioners"
29-2055.00,Surgical Technologists,Technologists and Technicians
19-3022.00,Survey Researchers,"Research, Development, Design, and Practitioners"
17-3031.00,Surveying and Mapping Technicians,Technologists and Technicians
17-1022.00,Surveyors,Technologists and Technicians
15-1241.01,Telecommunications Engineering Specialists,"Research, Development, Design, and Practitioners"
29-1129.00,"Therapists, All Other","Research, Development, Design, and Practitioners"
17-2051.01,Transportation Engineers,"Research, Development, Design, and Practitioners"
19-3099.01,Transportation Planners,"Research, Development, Design, and Practitioners"
19-3051.00,Urban and Regional Planners,"Research, Development, Design, and Practitioners"
29-1229.03,Urologists,"Research, Development, Design, and Practitioners"
17-2112.02,Validation Engineers,"Research, Development, Design, and Practitioners"
29-1131.00,Veterinarians,"Research, Development, Design, and Practitioners"
29-2056.00,Veterinary Technologists and Technicians,Technologists and Technicians
15-1255.01,Video Game Designers,"Research, Development, Design, and Practitioners"
11-9121.02,Water Resource Specialists,Managerial
17-2051.02,Water/Wastewater Engineers,"Research, Development, Design, and Practitioners"
15-1299.01,Web Administrators,"Research, Development, Design, and Practitioners; Technologists and Technicians"
15-1255.00,Web and Digital Interface Designers,"Research, Development, Design, and Practitioners"
15-1254.00,Web Developers,"Research, Development, Design, and Practitioners"
17-2199.10,Wind Energy Engineers,"Research, Development, Design, and Practitioners"
19-1023.00,Zoologists and Wildlife Biologists,"Research, Development, Design, and Practitioners"
