Top Work Values,Job Zone,Code,Occupation,Featured
RAI,4,21-1094.00,Community Health Workers,
RSI,4,11-3111.00,Compensation and Benefits Managers,
RSA,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",
RWI,4,19-1031.00,Conservation Scientists,Y
RSI,4,13-2041.00,Credit Analysts,
RAI,4,13-2071.00,Credit Counselors,
RSA,4,29-1141.03,Critical Care Nurses,
RAI,4,21-2021.00,"Directors, Religious Activities and Education",
RAI,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",
RAI,4,25-2021.00,"Elementary School Teachers, Except Special Education",Y
RAW,4,13-1041.03,Equal Opportunity Representatives and Officers,Y
RAI,4,29-1128.00,Exercise Physiologists,
RIA,4,11-9179.01,Fitness and Wellness Coordinators,
RIW,4,11-1021.00,General and Operations Managers,Y
RIA,4,21-1091.00,Health Education Specialists,Y
RRcW,4,11-3121.00,Human Resources Managers,Y
RSA,4,13-1071.00,Human Resources Specialists,Y
RWRc,4,27-3091.00,Interpreters and Translators,Y
RAI,4,25-2012.00,"Kindergarten Teachers, Except Special Education",
RARc,4,11-1031.00,Legislators,Y
RIS,4,13-2072.00,Loan Officers,
RIA,4,11-9081.00,Lodging Managers,
RIA,4,13-1121.00,"Meeting, Convention, and Event Planners",Y
RIA,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",
RAI,4,29-1129.02,Music Therapists,Y
RWA,4,19-1031.03,Park Naturalists,
RAS,4,43-9081.00,Proofreaders and Copy Markers,
RIS,4,39-9032.00,Recreation Workers,Y
RAI,4,29-1125.00,Recreational Therapists,Y
RSA,4,29-1141.00,Registered Nurses,Y
RAS,4,21-1015.00,Rehabilitation Counselors,Y
RAI,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Y
RAW,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",
RIW,4,11-9151.00,Social and Community Service Managers,Y
RSI,4,21-1093.00,Social and Human Service Assistants,Y
RWA,4,25-2057.00,"Special Education Teachers, Middle School",
RAI,4,25-2058.00,"Special Education Teachers, Secondary School",
RIW,4,17-1022.00,Surveyors,
RWA,4,11-3131.00,Training and Development Managers,
RAI,4,13-1151.00,Training and Development Specialists,Y
RIW,4,11-3071.00,"Transportation, Storage, and Distribution Managers",
RIA,4,25-3041.00,Tutors,
RAI,5,25-2059.01,Adapted Physical Education Specialists,Y
RWS,5,29-1141.02,Advanced Practice Psychiatric Nurses,Y
RAI,5,23-1022.00,"Arbitrators, Mediators, and Conciliators",Y
RAI,5,29-1129.01,Art Therapists,
RAI,5,29-9091.00,Athletic Trainers,Y
RAW,5,29-1181.00,Audiologists,
RIA,5,29-1011.00,Chiropractors,
RIA,5,19-3033.00,Clinical and Counseling Psychologists,
RIA,5,25-1122.00,"Communications Teachers, Postsecondary",
RIA,5,29-1031.00,Dietitians and Nutritionists,
RIW,5,11-9032.00,"Education Administrators, Kindergarten through Secondary",
RIA,5,25-1081.00,"Education Teachers, Postsecondary",Y
RAW,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Y
RAW,5,25-1123.00,"English Language and Literature Teachers, Postsecondary",
RARc,5,29-1215.00,Family Medicine Physicians,Y
RIA,5,25-9021.00,Farm and Home Management Educators,
RARc,5,29-9092.00,Genetic Counselors,
RAI,5,21-1022.00,Healthcare Social Workers,Y
RIA,5,25-9031.00,Instructional Coordinators,Y
RWI,5,25-4022.00,Librarians and Media Collections Specialists,Y
RIA,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Y
RAI,5,13-1111.00,Management Analysts,Y
RIA,5,21-1013.00,Marriage and Family Therapists,
RAI,5,21-1023.00,Mental Health and Substance Abuse Social Workers,
RAI,5,21-1014.00,Mental Health Counselors,Y
RAI,5,29-9099.01,Midwives,
RAI,5,29-1299.01,Naturopathic Physicians,
RAI,5,29-1161.00,Nurse Midwives,
RAI,5,29-1171.00,Nurse Practitioners,Y
RWI,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",
RAW,5,29-1122.00,Occupational Therapists,Y
RARc,5,29-1123.00,Physical Therapists,Y
RWA,5,29-1071.00,Physician Assistants,Y
RAI,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",
RIA,5,19-3034.00,School Psychologists,
RAI,5,25-1113.00,"Social Work Teachers, Postsecondary",
RAI,5,25-2051.00,"Special Education Teachers, Preschool",
RAI,5,29-1127.00,Speech-Language Pathologists,Y
RAI,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Y
RAW,5,19-3051.00,Urban and Regional Planners,Y
