Interest Code,Job Zone,Code,Occupation,Featured
EC,4,11-3061.00,Purchasing Managers,
ECR,4,11-3051.01,Quality Control Systems Managers,
EC,4,41-9021.00,Real Estate Brokers,
EC,4,11-9199.01,Regulatory Affairs Managers,
ERI,4,41-9031.00,Sales Engineers,
EC,4,11-2022.00,Sales Managers,
EC,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",
EIC,4,13-1161.01,Search Marketing Strategists,Y
ECS,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",
ES,4,11-9151.00,Social and Community Service Managers,Y
EC,4,11-3071.04,Supply Chain Managers,
EIA,4,13-1199.05,Sustainability Specialists,Y
EA,4,27-2012.04,Talent Directors,
ES,4,11-3131.00,Training and Development Managers,Y
ECR,4,11-3071.00,"Transportation, Storage, and Distribution Managers",
ECI,4,11-9199.10,Wind Energy Development Managers,
EAC,4,27-3043.00,Writers and Authors,
EIS,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Y
ERI,5,11-9041.00,Architectural and Engineering Managers,Y
EC,5,11-1011.00,Chief Executives,Y
ECI,5,11-1011.03,Chief Sustainability Officers,Y
ESC,5,29-1141.04,Clinical Nurse Specialists,Y
EC,5,25-4012.00,Curators,Y
ESC,5,11-9032.00,"Education Administrators, Kindergarten through Secondary",Y
ECS,5,11-9033.00,"Education Administrators, Postsecondary",Y
EC,5,11-3031.03,Investment Fund Managers,Y
ES,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates",Y
EI,5,23-1011.00,Lawyers,Y
ECS,5,11-9111.00,Medical and Health Services Managers,Y
EI,5,11-9121.00,Natural Sciences Managers,Y
SE,5,23-1022.00,"Arbitrators, Mediators, and Conciliators",Y
SEI,5,25-1011.00,"Business Teachers, Postsecondary",Y
SEA,5,21-2011.00,Clergy,Y
IEC,5,19-3011.01,Environmental Economists,Y
IE,5,19-2041.03,Industrial Ecologists,Y
IEC,5,13-1111.00,Management Analysts,Y
IEA,5,19-3051.00,Urban and Regional Planners,Y
