Interest Code,Job Zone,Code,Occupation,Featured
SAI,5,21-1013.00,Marriage and Family Therapists,Y
SIA,5,25-1022.00,"Mathematical Science Teachers, Postsecondary",
SIA,5,21-1023.00,Mental Health and Substance Abuse Social Workers,
SIA,5,21-1014.00,Mental Health Counselors,Y
SR,5,29-9099.01,Midwives,
SI,5,29-1161.00,Nurse Midwives,
SIR,5,29-1171.00,Nurse Practitioners,Y
SI,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",
SI,5,29-1122.00,Occupational Therapists,Y
SRI,5,29-2091.00,Orthotists and Prosthetists,
SAI,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",
SIR,5,29-1123.00,Physical Therapists,Y
SIR,5,29-1071.00,Physician Assistants,Y
SI,5,25-1054.00,"Physics Teachers, Postsecondary",
SEA,5,25-1065.00,"Political Science Teachers, Postsecondary",
SIR,5,29-1229.05,Preventive Medicine Physicians,
SIA,5,25-1066.00,"Psychology Teachers, Postsecondary",Y
S,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",
SI,5,25-1113.00,"Social Work Teachers, Postsecondary",
SIA,5,25-1067.00,"Sociology Teachers, Postsecondary",
SA,5,25-2051.00,"Special Education Teachers, Preschool",
SIA,5,29-1127.00,Speech-Language Pathologists,Y
SAI,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Y
SC,5,25-9044.00,"Teaching Assistants, Postsecondary",
